16:37:29.494 INFO   - BackgroundStateOriginal::setCurveSelected
16:37:29.494 INFO   - BackgroundStateUnloaded::setCurveSelected
16:37:29.494 INFO   - Document::curvesGraphsNames
16:37:29.494 INFO   - CoordSystemContext::curvesGraphsNames
16:37:29.494 INFO   - MainWindow::setPixmap
16:37:29.494 INFO   - DigitizeStateContext::setImageIsLoaded
16:37:29.494 INFO   - DigitizeStateContext::setCursor
16:37:29.494 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
16:37:29.494 INFO   - BackgroundStateContext::setPixmap image=1260x936 currentState=BackgroundStateCurve
16:37:29.494 INFO   - BackgroundStateCurve::setPixmap
16:37:29.494 INFO   - BackgroundStateCurve::processImageFromSavedInputs
16:37:29.494 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
16:37:29.494 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
16:37:29.561 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
16:37:29.561 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(1260x936)
16:37:29.561 INFO   - BackgroundStateNone::setPixmap
16:37:29.565 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(1260x936)
16:37:29.565 INFO   - BackgroundStateOriginal::setPixmap
16:37:29.565 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(1260x936)
16:37:29.565 INFO   - BackgroundStateUnloaded::setPixmap
16:37:29.565 INFO   - Transformation::resetOnLoad
16:37:29.565 INFO   - TransformationStateContext::resetOnLoad
16:37:29.565 INFO   - GraphicsLinesForCurves::resetOnLoad
16:37:29.565 INFO   - GraphicsScene::resetOnLoad itemsBefore=4 itemsAfter=4
16:37:29.565 INFO   - MainWindow::loadCurveListFromCmdMediator
16:37:29.565 INFO   - Document::curvesGraphsNames
16:37:29.565 INFO   - CoordSystemContext::curvesGraphsNames
16:37:29.565 INFO   - MainWindow::loadCoordSystemListFromCmdMediator
16:37:29.565 INFO   - Document::coordSystemCount
16:37:29.565 INFO   - MainWindow::updateViewsOfSettings
16:37:29.565 INFO   - ViewPointStyle::unsetPointStyle
